name,category,track,mass_kg,mass_msun,mdot_kg_s,radius_m,eta,luminosity_w,power_density_w_per_kg,phi_source
3C 120,supermassive_black_holes,gravitational,1.0936585e+38,55000000.00000001,2.3124967995031308e+22,162433666013.6783,0.057,1.1846700303884805e+38,1.083217503808072,computed_from_mdot
NGC 3516,supermassive_black_holes,gravitational,8.4907669e+37,42700000.0,3.780648718533729e+20,126107591614.2557,0.057,1.9367902404171347e+36,0.02281054542219425,computed_from_mdot
NGC 3783,supermassive_black_holes,gravitational,5.8659865e+37,29500000.0,1.4492486754379293e+21,87123511770.9729,0.057,7.424362588265681e+36,0.12656630880868344,computed_from_mdot
NGC 4051,supermassive_black_holes,gravitational,3.7979777e+36,1910000.0,6.301081197556215e+19,5640878219.747738,0.057,3.2279837340285568e+35,0.08499217186105534,computed_from_mdot
NGC 4151,supermassive_black_holes,gravitational,2.6247804e+37,13200000.0,1.260216239511243e+20,38984079843.28279,0.057,6.4559674680571136e+35,0.02459621943251753,computed_from_mdot
Mrk 766,supermassive_black_holes,gravitational,6.8999909e+36,3470000.0,1.3232270514868052e+21,10248087655.772068,0.057,6.778765841459969e+36,0.9824311277656859,computed_from_mdot
MCG-6-30-15,supermassive_black_holes,gravitational,3.0821285e+36,1550000.0000000002,7.561297437067459e+20,4577676042.203662,0.057,3.8735804808342693e+36,1.2567874703583153,computed_from_mdot
Mrk 590,supermassive_black_holes,gravitational,9.524771299999999e+37,47899999.99999999,6.931189317311836e+20,141464956401.00345,0.057,3.5507821074314125e+36,0.03727944740711426,computed_from_mdot
Mrk 110,supermassive_black_holes,gravitational,4.9910597e+37,25100000.0,1.4996573250183791e+22,74128818489.87865,0.057,7.682601286987966e+37,1.5392725691075115,computed_from_mdot
NGC 4395,supermassive_black_holes,gravitational,7.2181461e+35,363000.0,2.520432479022486e+18,1072062195.6902769,0.057,1.291193493611423e+34,0.017888159587285478,computed_from_mdot
NGC 5506,supermassive_black_holes,gravitational,1.7319573699999998e+38,87099999.99999999,1.0711838035845566e+21,257235860178.0251,0.057,5.487572347848547e+36,0.03168422296588366,computed_from_mdot
NGC 5548,supermassive_black_holes,gravitational,1.34420572e+38,67600000.0,2.2053784191446756e+21,199645742227.72098,0.057,1.129794306909995e+37,0.08404921137443122,computed_from_mdot
Mrk 509,supermassive_black_holes,gravitational,2.8832815e+38,145000000.0,1.8966254404644207e+22,428234210399.6974,0.057,9.716231039425956e+37,0.33698516913544363,computed_from_mdot
Ark 564,supermassive_black_holes,gravitational,1.57884518e+37,7940000.000000001,1.7643027353157401e+21,23449514693.611015,0.057,9.038354455279959e+36,0.5724661651296271,computed_from_mdot
NGC 7469,supermassive_black_holes,gravitational,2.4458181e+37,12300000.0,6.238070385580653e+21,36326074399.42261,0.057,3.1957038966882716e+37,1.3065991688786143,computed_from_mdot
Ark 120,supermassive_black_holes,gravitational,3.6985542e+38,186000000.0,1.1341946155601186e+22,549321125064.4394,0.057,5.810370721251402e+37,0.15709843379478938,computed_from_mdot
